Id,Focus Area (Comes from Source),Focus area (Resource Type)
29,Opportunities,Opportunities User Guides
31,Credit Approvals,Credit Approvals User Guides
32,Forecasting,Forecasting User Guides
33,Activities,Activities User Guides
36,Accounts & Contacts,Accounts & Contacts User Guides
38,General,General User Guides
40,Accounts & Contacts,Accounts & Contacts User Guides
41,General,General User Guides
42,Campaign Tools,Campaign Tools User Guides
43,Mobile App,Mobile App User Guides
44,Opportunities,Opportunities User Guides
45,Outlook Integration,Outlook Integration User Guides
46,Growth Tools,Growth Tools User Guides
47,Growth Tools,Growth Tools User Guides
51,General,General User Guides
59,Dashboards,Dashboards User Guides
62,General,General User Guides
66,Credit Approvals,Credit Approvals User Guides
70,Activities,Activities User Guides
71,Leads,Leads User Guides
76,General,General User Guides
100,Accounts & Contacts,Accounts & Contacts User Guides
116,General,General User Guides
117,Campaign Tools,Campaign Tools User Guides
120,General,General User Guides
127,, 
135,,Trainings Trainings
136,,Trainings Trainings
137,Leads,Leads User Guides
141,Accounts & Contacts,Accounts & Contacts User Guides
162,Mobile App,Mobile App Trainings
163,Accounts & Contacts,Accounts & Contacts User Guides
164,Opportunities,Opportunities User Guides
186,Accounts & Contacts,Accounts & Contacts User Guides
191,, 
192,, 
224,Campaign Tools,Campaign Tools User Guides
226,Growth Tools,Growth Tools User Guides
229,Growth Tools,Growth Tools User Guides
230,Growth Tools,Growth Tools User Guides
232,, 
233,General,General User Guides
235,General,General User Guides
239,, 
241,Opportunities,Opportunities User Guides
243,General,General User Guides
245,, 
247,,OFT OFT
248,,OFT OFT
249,,OFT OFT
265,General,General User Guides
267,, 
269,, 
270,, 
280,Accounts & Contacts,Accounts & Contacts User Guides
282,Growth Tools,Growth Tools User Guides
283,Growth Tools,Growth Tools User Guides
284,Growth Tools,Growth Tools User Guides
285,Growth Tools,Growth Tools User Guides
287,Opportunities,Opportunities User Guides
292,General,General User Guides
293,Opportunities,Opportunities User Guides
298,, 
299,, 
300,,User Guides User Guides
302,, 
304,Opportunities,Opportunities User Guides
305,Campaign Tools,Campaign Tools User Guides
309,General,General User Guides
310,Opportunities,Opportunities Simulations
313,General,General User Guides
319,General,General User Guides
320,, 
321,Accounts & Contacts,Accounts & Contacts User Guides
322,Opportunities,Opportunities User Guides
323,General,General User Guides
