"GroupName","Action","PreviousPermissions","NewPermissions"
"A&A Insights Non-NPSG Contributors","Set to Read-Only","Limited Access","Read"
"AFS Template Members","Set to Read-Only","","Read"
"AFS Template Owners","Set to Read-Only","","Read"
"AFS Template Visitors","Set to Read-Only","","Read"
"Approvers","Set to Read-Only","","Read"
"ASMG - National Members-Contibutors","Set to Read-Only","Edit, Limited Access","Read"
"ASMG Rotating Managers","Set to Read-Only","Contribute, Limited Access","Read"
"Audit Team Sites Owners","Set to Read-Only","Limited Access","Read"
"Auto Comms Pre-Pilot and Pilot Members","Set to Read-Only","Limited Access","Read"
"Contract Express UAT Members","Set to Read-Only","Limited Access","Read"
"Designers","Set to Read-Only","Limited Access","Read"
"Global Content Members","Set to Read-Only","Edit, Limited Access","Read"
"Global Content Moderators","Set to Read-Only","Limited Access, Moderate","Read"
"Global Content Visitors","Set to Read-Only","Read, Limited Access","Read"
"Hierarchy Managers","Set to Read-Only","","Read"
"MAPS Content Contributors","Set to Read-Only","Contribute, Limited Access","Read"
"MAPS Content Owners","Set to Read-Only","Limited Access","Read"
"MAPS Content PM Access","Set to Read-Only","Limited Access","Read"
"MAPS Content UAT Members","Set to Read-Only","Contribute, Limited Access","Read"
"MAPS Content Visitors","Set to Read-Only","Limited Access","Read"
"MAPS Members","Set to Read-Only","Limited Access","Read"
"MAPS Owners","Set to Read-Only","Limited Access","Read"
"MAPS_REF Contribute","Set to Read-Only","","Read"
"MAPS_REF Owners","Set to Read-Only","","Read"
"MAPS_REF Read","Set to Read-Only","","Read"
"MAPS-Team Members","Set to Read-Only","Edit, Limited Access","Read"
"MAPS-Team Owners","Set to Read-Only","","Read"
"MAPS Visitors","Set to Read-Only","Limited Access","Read"
"NPSG Ops Designers","Set to Read-Only","Limited Access","Read"
"NPSG Ops_Members-Contributors","Set to Read-Only","Limited Access","Read"
"NPSG Ops_Owners","Set to Read-Only","Limited Access","Read"
"Quick Deploy Users","Set to Read-Only","","Read"
"Restricted Readers","Set to Read-Only","","Read"
"Style Resource Readers","Set to Read-Only","Limited Access","Read"
"Teams Members","Set to Read-Only","","Read"
"Temp Missing ASMG National Group","Set to Read-Only","","Read"
"Translation Managers","Set to Read-Only","","Read"
