"AdditionalUXProperties","AllowContentTypes","AllowDeletion","Author","BaseTemplate","BaseType","BrowserFileHandling","Color","ContentTypes","ContentTypesEnabled","CrawlNonDefaultViews","CreatablesInfo","Created","CurrentChangeToken","CustomActionElements","DataSource","DefaultContentApprovalWorkflowId","DefaultDisplayFormUrl","DefaultEditFormUrl","DefaultItemOpenInBrowser","DefaultItemOpenUseListSetting","DefaultNewFormUrl","DefaultView","DefaultViewPath","DefaultViewUrl","Description","DescriptionResource","Direction","DisableCommenting","DisableGridEditing","DocumentTemplateUrl","DraftVersionVisibility","EffectiveBasePermissions","EffectiveBasePermissionsForUI","EnableAssignToEmail","EnableAttachments","EnabledQueryableColumnsDateTime","EnableFolderCreation","EnableMinorVersions","EnableModeration","EnableRequestSignOff","EnableVersioning","EntityTypeName","EventReceivers","ExcludeFromOfflineClient","ExcludeFromOfflineMode","ExemptFromBlockDownloadOfNonViewableFiles","Fields","FileSavePostProcessingEnabled","ForceCheckout","Forms","HasContentAssemblyTemplates","HasCopyMoveRules","HasExternalDataSource","HasFolderColoringFields","HasListBoundContentAssemblyTemplates","Hidden","HighPriorityMediaProcessing","Icon","Id","ImagePath","ImageUrl","InformationRightsManagementSettings","DefaultSensitivityLabelForLibrary","SensitivityLabelToEncryptOnDownloadForLibrary","IrmEnabled","IrmExpire","IrmReject","IsApplicationList","IsCatalog","IsContributorOwnerEnabled","IsDefaultDocumentLibrary","IsEnterpriseGalleryLibrary","IsPredictionModelApplied","IsPrivate","IsSiteAssetsLibrary","IsSystemList","ItemCount","Items","LastItemDeletedDate","LastItemModifiedDate","LastItemUserModifiedDate","ListExperienceOptions","ListFormCustomized","ListItemEntityTypeFullName","ListSchemaVersion","MajorVersionLimit","MajorWithMinorVersionsLimit","MultipleDataList","NoCrawl","OnQuickLaunch","PageRenderType","ParentWeb","ParentWebPath","ParentWebUrl","ParserDisabled","ReadSecurity","RootFolder","SchemaXml","ServerTemplateCanCreateFolders","ShowHiddenFieldsInModernForm","TemplateFeatureId","TemplateTypeId","Title","TitleResource","UserCustomActions","ValidationFormula","ValidationMessage","VersionPolicies","Views","WorkflowAssociations","WriteSecurity","FirstUniqueAncestorSecurableObject","HasUniqueRoleAssignments","RoleAssignments","Context","Tag","Path","ObjectVersion","ServerObjectIsNull","TypedObject"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","False","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 1:54:48 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"False",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/Forms/AllItems.aspx","Document Library for archived copies of CaseWare Content Redlines from releases between 2023 - 2024","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/Forms/template.dotx","Reader",,,,"False",,"True","False","False","True","True","ARCHIVES_x0020_2023_x0020_CW_x0020_Content_x0020_Orb_x0020_Template_x0020_Redlines","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"5daa8e55-0763-4a84-b650-ec0a78f5b820","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"3014","Microsoft.SharePoint.Client.ListItemCollection","12/16/2025 4:06:01 AM","12/16/2025 4:06:23 AM","12/15/2025 3:28:46 PM","Auto",,"SP.Data.ARCHIVES_x0020_2023_x0020_CW_x0020_Content_x0020_Orb_x0020_Template_x0020_RedlinesItem",,"500","0","False","False","True",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Archives: 2023-24 CW Content Redlines","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","157","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","False","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 1:54:48 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"False",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/Forms/AllItems.aspx","Document Library for archived copies of CaseWare Content Redlines from releases between 2023 - 2024","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/Forms/template.dotx","Reader",,,,"False",,"True","False","False","True","True","ARCHIVES_x0020_2526_x0020_CW_x0020_Content_x0020_Redlines","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"ca696754-2278-4b97-b091-536275b3c168","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"1017","Microsoft.SharePoint.Client.ListItemCollection","12/13/2025 11:55:35 PM","12/16/2025 3:16:49 AM","12/13/2025 11:34:06 PM","Auto",,"SP.Data.ARCHIVES_x0020_2526_x0020_CW_x0020_Content_x0020_RedlinesItem",,"500","0","False","False","True",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Archives: 2025-26 CW Content Redlines","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","169","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","True","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 2:30:53 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"True",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/Canada Docs/Forms/AllItems.aspx","","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Canada Docs/Forms/template.dotx","Reader",,,,"False",,"True","False","False","True","True","Canada_x0020_Docs","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"d63294e6-7f7a-4001-9f48-780627a63da3","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"153","Microsoft.SharePoint.Client.ListItemCollection","12/16/2025 3:18:14 AM","12/16/2025 3:18:17 AM","12/13/2025 11:36:17 PM","Auto",,"SP.Data.Canada_x0020_DocsItem",,"500","0","False","False","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Canada Docs","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","159","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","False","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 2:55:42 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"True",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Pilot/Forms/AllItems.aspx","","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Pilot/Forms/template.dotx","Reader",,,,"False",,"True","False","False","True","True","Contract_x0020_Express_x0020_Pilot","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"fd6c52c0-1d4a-4e95-a9fb-5b735b32a5af","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"8","Microsoft.SharePoint.Client.ListItemCollection","12/13/2025 11:53:11 PM","12/16/2025 3:28:23 AM","12/2/2025 2:55:42 AM","Auto",,"SP.Data.Contract_x0020_Express_x0020_PilotItem",,"50000","0","False","False","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Contract Express Pilot","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","131","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","True","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 2:55:42 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"True",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Redlines/Forms/AllItems.aspx","Library to host Contract Express redlines","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Redlines/Forms/template.dotx","Reader",,,,"False",,"True","False","False","True","True","Contract_x0020_Express_x0020_Redlines","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"ee65d923-5458-4421-9d5e-64e09260d371","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"39","Microsoft.SharePoint.Client.ListItemCollection","12/14/2025 12:21:36 AM","12/16/2025 3:50:44 AM","12/2/2025 2:55:42 AM","NewExperience",,"SP.Data.Contract_x0020_Express_x0020_RedlinesItem",,"50000","0","False","True","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Contract Express Redlines","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","285","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","False","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 2:55:42 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"True",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Bugs/Forms/AllItems.aspx","","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Bugs/Forms/template.dotx","Reader",,,,"False",,"True","False","False","True","True","Contract_x0020_Express_x0020_Bugs","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"8521d0c3-981c-4a24-bc6c-c564f5bb8c12","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"56","Microsoft.SharePoint.Client.ListItemCollection","12/14/2025 1:36:54 AM","12/16/2025 4:27:30 AM","12/14/2025 12:14:00 AM","Auto",,"SP.Data.Contract_x0020_Express_x0020_BugsItem",,"50000","0","False","False","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Contract Express UAT","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","134","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","True","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 2:32:03 PM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"True",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gen/Forms/Marys View.aspx","Commercial Template","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gen/Forms/template.doc","Reader",,,,"False",,"True","False","False","True","True","Gen","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"198e284a-8d0d-4bb9-8e0f-ad8813d5dfb8","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"569","Microsoft.SharePoint.Client.ListItemCollection","12/2/2025 3:28:24 PM","12/16/2025 4:03:43 AM","12/2/2025 3:28:24 PM","Auto",,"SP.Data.GenItem",,"50000","0","False","False","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"General","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","168","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","True","False","Microsoft.SharePoint.Client.CreatablesInfo","12/2/2025 2:32:03 PM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"True",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/HC/Forms/AllItems.aspx","Plan Industry build out","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/HC/Forms/template.doc","Reader",,,,"False",,"False","False","False","True","True","HC","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"2594fefa-6a49-403a-8549-4f9a88379edc","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"36","Microsoft.SharePoint.Client.ListItemCollection","12/16/2025 3:37:18 AM","12/16/2025 10:10:45 PM","12/2/2025 3:23:53 PM","Auto",,"SP.Data.HCItem",,"50000","0","False","False","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Health Care","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","196","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","False","False","Microsoft.SharePoint.Client.CreatablesInfo","12/6/2025 3:15:30 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"False",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/Inflo Redlines/Forms/AllItems.aspx","Draft site for Inflo Redlines. New document library to replace existing doc library under the Orb Template sub page.","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Inflo Redlines/Forms/template.dotx","Reader",,,,"False",,"False","False","False","True","True","Inflo_x0020_Redlines","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"c2cb0144-3b34-489e-b82e-1a1f442f82b9","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"0","Microsoft.SharePoint.Client.ListItemCollection","12/6/2025 3:15:30 AM","12/16/2025 3:36:34 AM","12/6/2025 3:15:30 AM","Auto",,"SP.Data.Inflo_x0020_RedlinesItem",,"500","0","False","True","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"Inflo Redlines","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","102","False","Microsoft.SharePoint.Client.List"
,"True","True","Microsoft.SharePoint.Client.User","101","DocumentLibrary",,,"Microsoft.SharePoint.Client.ContentTypeCollection","False","False","Microsoft.SharePoint.Client.CreatablesInfo","12/3/2025 12:32:48 AM","Microsoft.SharePoint.Client.ChangeToken",,,"00000000-0000-0000-0000-000000000000",,,,"True",,"Microsoft.SharePoint.Client.View",,"/sites/IWS_AS_AuditWPsAdmin/WPsContent/Luca WP Documents/Forms/AllItems.aspx","Document library for documents related to Luca WP. Not intended for redlines.","Microsoft.SharePoint.Client.UserResource","none","False","False","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Luca WP Documents/Forms/template.dotx","Reader",,,,"False",,"False","False","False","True","True","Luca_x0020_WP_x0020_Documents","Microsoft.SharePoint.Client.EventReceiverDefinitionCollection",,,"False","Microsoft.SharePoint.Client.FieldCollection","False","False","Microsoft.SharePoint.Client.FormCollection",,,"False",,,"False",,,"b2600f6a-7149-48a7-a4b6-1b132901f579","Microsoft.SharePoint.Client.ResourcePath","/_layouts/15/images/itdl.png?rev=49","Microsoft.SharePoint.Client.InformationRightsManagementSettings","",,"False","False","False","False","False",,,,,"False",,,"121","Microsoft.SharePoint.Client.ListItemCollection","12/16/2025 3:49:00 AM","12/16/2025 4:48:01 AM","12/3/2025 1:14:02 AM","Auto",,"SP.Data.Luca_x0020_WP_x0020_DocumentsItem",,"5000","0","False","False","False",,"Microsoft.SharePoint.Client.Web","Microsoft.SharePoint.Client.ResourcePath","/sites/IWS_AS_AuditWPsAdmin/WPsContent","False",,"Microsoft.SharePoint.Client.Folder",,"True",,"00bfea71-e717-4e80-aa17-d0c71b360101",,"RSM Luca WP Documents","Microsoft.SharePoint.Client.UserResource","Microsoft.SharePoint.Client.UserCustomActionCollection",,,"Microsoft.SharePoint.Client.VersionPolicyManager","Microsoft.SharePoint.Client.ViewCollection","Microsoft.SharePoint.Client.Workflow.WorkflowAssociationCollection",,"Microsoft.SharePoint.Client.SecurableObject","False","Microsoft.SharePoint.Client.RoleAssignmentCollection","PnP.Framework.PnPClientContext",,"Microsoft.SharePoint.Client.ObjectPathIdentity","120","False","Microsoft.SharePoint.Client.List"
