"Type","Title","Url","ListId","ItemId","HasUniquePermissions"
"File","Drafting Guide for Work Programs and Checklists.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Drafting Guide for Work Programs and Checklists.pdf","c61c537d-cbe0-4929-a14a-cd7f5062251b","18","True"
"File","Redline Template - Checklist.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Redline Template - Checklist.docx","c61c537d-cbe0-4929-a14a-cd7f5062251b","19","True"
"File","Redline Template - Work Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Redline Template - Work Program.docx","c61c537d-cbe0-4929-a14a-cd7f5062251b","20","True"
"File","Drafting Guide for CaseView Flat Forms.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Drafting Guide for CaseView Flat Forms.docx","c61c537d-cbe0-4929-a14a-cd7f5062251b","54","True"
"File","Software Development Life Cycle - NPSG Process.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Software Development Life Cycle - NPSG Process.docx","c61c537d-cbe0-4929-a14a-cd7f5062251b","357","True"
"File","NATO QA and Support Group.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/NATO QA and Support Group.docx","c61c537d-cbe0-4929-a14a-cd7f5062251b","368","True"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1400 Determination of Materiality.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","513","True"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1605 Common Documentation for Groups or Related Entities.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","533","True"
"File","5110 Derivatives Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/5110 Derivatives Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","570","True"
"File","5200 Accounts Receivable Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/5200 Accounts Receivable Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","576","True"
"File","6910 US Share-Based Payments Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/6910 US Share-Based Payments Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","589","True"
"File","7700 Hedging Activities Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/7700 Hedging Activities Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","608","True"
"File","6350 SEC Defined Benefits Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/6350 SEC Defined Benefits Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","770","True"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/1605 Common Documentation for Groups or Related Entities.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","1561","True"
"File","1620 Program and Project Management Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1620 Program and Project Management Procedures.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","1579","True"
"File","1620 Program and Project Management Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/1620 Program and Project Management Procedures.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","1607","True"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/1400 Determination of Materiality.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","1611","True"
