"Type","Title","Url","Action","Reason","Timestamp"
"File","Drafting Guide for Work Programs and Checklists.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Drafting Guide for Work Programs and Checklists.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Redline Template - Checklist.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Redline Template - Checklist.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Redline Template - Work Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Redline Template - Work Program.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Drafting Guide for CaseView Flat Forms.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Drafting Guide for CaseView Flat Forms.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Software Development Life Cycle - NPSG Process.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Software Development Life Cycle - NPSG Process.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","NATO QA and Support Group.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/NATO QA and Support Group.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1400 Determination of Materiality.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1605 Common Documentation for Groups or Related Entities.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","5110 Derivatives Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/5110 Derivatives Audit Program.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","5200 Accounts Receivable Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/5200 Accounts Receivable Audit Program.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
