"Type","Title","Url","Action","Reason","Timestamp"
"File","Drafting Guide for Work Programs and Checklists.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Drafting Guide for Work Programs and Checklists.pdf","Reset","Inheritance restored","2025-12-17 06:43:15"
"File","Redline Template - Checklist.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Redline Template - Checklist.docx","Reset","Inheritance restored","2025-12-17 06:43:17"
"File","Redline Template - Work Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Redline Template - Work Program.docx","Reset","Inheritance restored","2025-12-17 06:43:18"
"File","Drafting Guide for CaseView Flat Forms.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Drafting Guide for CaseView Flat Forms.docx","Reset","Inheritance restored","2025-12-17 06:43:19"
"File","Software Development Life Cycle - NPSG Process.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/Software Development Life Cycle - NPSG Process.docx","Reset","Inheritance restored","2025-12-17 06:43:20"
"File","NATO QA and Support Group.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SAMP/NATO QA and Support Group.docx","Reset","Inheritance restored","2025-12-17 06:43:21"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1400 Determination of Materiality.docx","Reset","Inheritance restored","2025-12-17 06:43:23"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1605 Common Documentation for Groups or Related Entities.docx","Reset","Inheritance restored","2025-12-17 06:43:24"
"File","5110 Derivatives Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/5110 Derivatives Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:25"
"File","5200 Accounts Receivable Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/5200 Accounts Receivable Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:26"
"File","6910 US Share-Based Payments Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/6910 US Share-Based Payments Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:28"
"File","7700 Hedging Activities Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/7700 Hedging Activities Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:29"
"File","6350 SEC Defined Benefits Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/6350 SEC Defined Benefits Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:30"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/1605 Common Documentation for Groups or Related Entities.docx","Reset","Inheritance restored","2025-12-17 06:43:31"
"File","1620 Program and Project Management Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2023 Release/1620 Program and Project Management Procedures.docx","Reset","Inheritance restored","2025-12-17 06:43:32"
"File","1620 Program and Project Management Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/1620 Program and Project Management Procedures.docx","Reset","Inheritance restored","2025-12-17 06:43:34"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/1400 Determination of Materiality.docx","Reset","Inheritance restored","2025-12-17 06:43:35"
"File","5110 Derivatives Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/December 2023 Release/5110 Derivatives Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:36"
"File","7700 Hedging Activities Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/December 2023 Release/7700 Hedging Activities Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:37"
"File","6350 SEC Defined Benefits Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/December 2023 Release/6350 SEC Defined Benefits Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:38"
"File","6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:40"
"File","Transaction Cycle Understanding Template.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/April 2024 Release/Transaction Cycle Understanding Template.docx","Reset","Inheritance restored","2025-12-17 06:43:41"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/1400 Determination of Materiality.docx","Reset","Inheritance restored","2025-12-17 06:43:42"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/1605 Common Documentation for Groups or Related Entities.docx","Reset","Inheritance restored","2025-12-17 06:43:43"
"File","7700 Hedging Activities Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/7700 Hedging Activities Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:45"
"File","9062 HC Financial Statement Review Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2024 Release/9062 HC Financial Statement Review Procedures.docx","Reset","Inheritance restored","2025-12-17 06:43:46"
"File","0110 - Letter and Report Tailoring Checklist.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2024 Release/0110 - Letter and Report Tailoring Checklist.docx","Reset","Inheritance restored","2025-12-17 06:43:47"
"File","Appendix 5.2 - Other Auditor Completion Confirmation.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/Appendix 5.2 - Other Auditor Completion Confirmation.docx","Reset","Inheritance restored","2025-12-17 06:43:48"
"File","Appendix 1.6 - Acknowledgement of Receipt.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/Appendix 1.6 - Acknowledgement of Receipt.docx","Reset","Inheritance restored","2025-12-17 06:43:49"
"File","6350 SEC Defined Benefits Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/6350 SEC Defined Benefits Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:51"
"File","6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","Reset","Inheritance restored","2025-12-17 06:43:52"
"File","Project Plan_Audit Systems 23.00 Upgrade.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Audit Systems 2200 Project Documents/Project Plan_Audit Systems 23.00 Upgrade.xlsx","Reset","Inheritance restored","2025-12-17 06:43:53"
"File","L 1011 SEC Demo Video.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Automated Communications/Pre-Pilot and Pilot Materials/L 1011 SEC Demo Video.mp4","Reset","Inheritance restored","2025-12-17 06:43:54"
"File","L 1011 SEC Pilot Instructions.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Automated Communications/Pre-Pilot and Pilot Materials/L 1011 SEC Pilot Instructions.pdf","Reset","Inheritance restored","2025-12-17 06:43:55"
"File","Audit Arrangement Letter Template.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Template Archive/Audit Arrangement Letter Template.docx","Reset","Inheritance restored","2025-12-17 06:43:56"
"File","UAT Instructions - August 2024.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Bugs/UAT Instructions - August 2024.xlsx","Reset","Inheritance restored","2025-12-17 06:43:58"
"File","FI MAPS to ORB Conversion Tracker.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/FI/FI MAPS to ORB Conversion Tracker.xlsx","Reset","Inheritance restored","2025-12-17 06:43:59"
"File","05-2022 AIS SOC Final B1.0.0 WP2020 Audit23.cwp","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gen/Release/05-2022 AIS SOC Final B1.0.0 WP2020 Audit23.cwp","Reset","Inheritance restored","2025-12-17 06:44:00"
"File","3315 GOV Significant Accounts by Opinion Unit.rtf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gov/Redlines/3315 GOV Significant Accounts by Opinion Unit.rtf","Reset","Inheritance restored","2025-12-17 06:44:01"
"File","9062 HC Financial Statement Review Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/HC/Redlines/9062 HC Financial Statement Review Procedures.docx","Reset","Inheritance restored","2025-12-17 06:44:01"
"File","2_.000","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Lists/Links/2_.000","Reset","Inheritance restored","2025-12-17 06:44:02"
"File","4_.000","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Lists/Links/4_.000","Reset","Inheritance restored","2025-12-17 06:44:03"
"List/Library","QA Doc Library","/sites/IWS_AS_AuditWPsAdmin/WPsContent/QA Doc Library","Skipped","In excluded library","2025-12-17 06:44:03"
"File","CoA RSM US - FI.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Luca WP Documents/CoA RSM US - FI.xlsx","Reset","Inheritance restored","2025-12-17 06:44:04"
"File","Terminal Server Setup and Operations Instructions.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Outdated Instructions/Terminal Server Setup and Operations Instructions.pdf","Reset","Inheritance restored","2025-12-17 06:44:05"
"File","Terminal Server Setup and Operations Instructions - Updated for 11-2020 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/UAT for 11-20-2020 Release/Terminal Server Setup and Operations Instructions - Updated for 11-2020 Release.pdf","Reset","Inheritance restored","2025-12-17 06:44:06"
"File","Terminal Server Setup and Operations Instructions - Updated for 05-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 05-2021 Release.pdf","Reset","Inheritance restored","2025-12-17 06:44:07"
"File","Terminal Server Setup and Operations Instructions - Updated for 07-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 07-2021 Release.pdf","Reset","Inheritance restored","2025-12-17 06:44:08"
"File","08.02.21 - UAT Kickoff Recording.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/08.02.21 - UAT Kickoff Recording.mp4","Reset","Inheritance restored","2025-12-17 06:44:08"
"File","UAT Information and Links - Updated for 12-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/UAT Information and Links - Updated for 12-2021 Release.pdf","Reset","Inheritance restored","2025-12-17 06:44:09"
"File","04.04.22 - UAT Kickoff Recording.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/04.04.22 - UAT Kickoff Recording.mp4","Reset","Inheritance restored","2025-12-17 06:44:10"
"File","Terminal Server Setup and Operations Instructions - Updated for 08-2022 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 08-2022 Release.pdf","Reset","Inheritance restored","2025-12-17 06:44:11"
"File","UAT Engagement List.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT Engagement List.xlsx","Reset","Inheritance restored","2025-12-17 06:44:12"
"File","Transaction Cycle Understanding Template.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC EBP Docs/Redlines/Transaction Cycle Understanding Template.docx","Reset","Inheritance restored","2025-12-17 06:44:13"
"File","4600 SEC FI Consideration of Going Concern Program and Checklist.rtf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_FI/Redlines/Superseded/4600 SEC FI Consideration of Going Concern Program and Checklist.rtf","Reset","Inheritance restored","2025-12-17 06:44:13"
"File","SEC Orb Form Tracker.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Scoping/SEC Orb Form Tracker.xlsx","Reset","Inheritance restored","2025-12-17 06:44:14"
"File","4600 SEC Consideration of Going Concern Program and Checklist.rtf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Redlines/Superseded/4600 SEC Consideration of Going Concern Program and Checklist.rtf","Reset","Inheritance restored","2025-12-17 06:44:15"
"File","Appendix 1.6 - Acknowledgement of Receipt.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Redlines/SEC Orb Group Audit Instructions/Appendix 1.6 - Acknowledgement of Receipt.docx","Reset","Inheritance restored","2025-12-17 06:44:16"
"File","Appendix 5.2 - Other Auditor Completion Confirmation.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Redlines/SEC Orb Group Audit Instructions/Appendix 5.2 - Other Auditor Completion Confirmation.docx","Reset","Inheritance restored","2025-12-17 06:44:17"
