"GroupName","Permissions"
"Approvers","Design,Edit,Read,Limited Access"
"Benefits Documents Members","Design,Edit,Read,Limited Access"
"Benefits & Wellbeing Members","Design,Edit,Read,Limited Access"
"Benefits & Wellbeing Visitors","Design,Edit,Read,Limited Access"
"Designers","Design,Edit,Read,Limited Access"
"Hierarchy Managers","Design,Edit,Read,Limited Access"
"Limited Access System Group","Limited Access"
"Limited Access System Group For List f6ff499f-1b18-4dbc-94cb-c9f22f61ee3c",""
"Limited Access System Group For Web 229f3e87-6689-4250-a937-76b200257321","Web-Only Limited Access"
"Pepe Lives",""
"Pepe Man","Contribute"
"Restricted Readers","Design,Edit,Read,Limited Access"
"RolinForgeworld Members","Edit"
"RolinForgeworld Visitors","Read"
"SharingLinks.0f644690-f65c-4dc8-87e8-72082f39052b.Flexible.4e861b81-6dc1-4d5d-9216-0be5c0e1a498",""
"Style Resource Readers","Design,Edit,Read,Limited Access"
"Translation Managers","Design,Edit,Read,Limited Access"
